Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
WINE,10,Easy,277,0.9762,0.9712,0.98,0.39,0.9
WINE,10,Medium,83,0.9764,0.9747,0.9803,0.4,0.57
WINE,10,Hard,259,0.9665,0.9774,0.9777,1.16,0.03
