CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds
True,10.0,10.0,10.0,10.0,1.6946837676271396,0.948404287270878,10.0,10.0,10.0,10.0,1.8714935397078816,0.9513996707598392,10.0,10.0,10.0,10.0,1.468827148895785,0.9790032410701688,10.0,10.0,10.0,10.0,1.1124990189777042,0.9468790967571464,10.0,10.0,10.0,10.0,1.0522825927450854,0.9448364735297063
True,10.0,10.0,10.0,10.0,1.8012351218650564,0.9616572453418698,10.0,10.0,10.0,10.0,1.5383554627796263,0.9102139442614318,10.0,10.0,10.0,10.0,1.644914506788052,0.9370251647995488,10.0,10.0,10.0,10.0,1.6849114935437648,0.99714724128598,10.0,10.0,10.0,10.0,1.7020315782780961,1.0090157194315847
True,10.0,10.0,10.0,10.0,2.020904961962028,0.9136886495459372,10.0,10.0,10.0,10.0,2.1281293557544068,0.9271134558574922,10.0,10.0,10.0,10.0,1.4622675161794505,0.9520250682201066,10.0,10.0,10.0,10.0,1.9200173349116727,0.9737257233237532,10.0,10.0,10.0,10.0,1.920773223221195,0.9795537893221578
True,10.0,10.0,10.0,10.0,1.7967258586685506,0.9657888123693172,10.0,10.0,10.0,10.0,1.4529433593009171,0.9305744955967368,10.0,10.0,10.0,10.0,1.8056661207318303,0.953599119161883,10.0,10.0,10.0,10.0,2.0247340497116517,0.9188966837877408,10.0,10.0,10.0,10.0,2.0232786624983317,0.9103101062831271
True,10.0,10.0,10.0,10.0,1.4791578632082143,0.9620839595363606,10.0,10.0,10.0,10.0,1.6576789644350955,0.9463510244857328,10.0,10.0,10.0,10.0,1.489462315935574,0.9552834702123668,10.0,10.0,10.0,10.0,1.42789613010232,0.9977530635916696,10.0,10.0,10.0,10.0,1.3767302601154439,1.0023870870193226
True,10.0,10.0,10.0,10.0,1.7293120512728812,0.9023610292967328,10.0,10.0,10.0,10.0,1.4737788618944976,0.939699652386534,10.0,10.0,10.0,10.0,1.7160185430029842,0.940715472453758,10.0,10.0,10.0,10.0,1.124987788131926,0.9943867765272326,10.0,10.0,10.0,10.0,1.108962304460287,0.9971173283024548
True,10.0,10.0,10.0,10.0,1.692557040590163,0.943345792775134,10.0,10.0,10.0,10.0,1.4709400813638722,0.9419702806898946,10.0,10.0,10.0,10.0,1.5003936262494264,0.9526373012959845,10.0,10.0,10.0,10.0,1.3953051427776173,1.0049622203708837,10.0,10.0,10.0,10.0,1.5592342175399982,0.9908194369251448
True,10.0,10.0,10.0,10.0,1.6416683356052748,0.9723912713494494,10.0,10.0,10.0,10.0,1.659307001267441,0.9618213096789534,10.0,10.0,10.0,10.0,1.545169669869321,0.935986354013289,10.0,10.0,10.0,10.0,1.5117613670882313,0.9644934908020616,10.0,10.0,10.0,10.0,1.4627580913855351,0.9454350563446512
True,10.0,10.0,10.0,10.0,1.4879332333702189,0.9424842937263636,10.0,10.0,10.0,10.0,1.9210097223822915,0.9131811589216716,10.0,10.0,10.0,10.0,1.8225414269483136,0.9383743953912308,10.0,10.0,10.0,10.0,1.5019115587633318,0.9644282374435308,10.0,10.0,10.0,10.0,1.5108321950675307,0.9463943985126928
True,0.8,0.890909090909091,1.1409090909090909,1.2318181818181817,2.2984405486237125,0.851160577164024,0.8,0.890909090909091,1.1409090909090909,1.456307977736549,1.7022841746585875,0.9621877299027066,0.8,1.05,1.2744897959183674,1.456307977736549,1.7792905033068187,0.9854347036838595,0.8,1.0244897959183674,1.2744897959183674,1.6320655534941249,1.5943555031199117,0.9800425117066144,0.8,0.890909090909091,1.1575757575757575,1.6320655534941249,1.5142127693018987,0.9843169151730329
