Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
LENDINGCLUB,10,Easy,1608,0.9757,0.9752,0.9767,0.1,0.15
LENDINGCLUB,10,Medium,706,0.9755,0.9757,0.9771,0.16,0.14
LENDINGCLUB,10,Hard,1686,0.969,0.9682,0.976,0.72,0.81
