Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.611041623109305,9.352201800477118,9.148454127545852,8.91634632004726,0.6723560482916958,0.9591848499156029
SHAP_D_LAB,9.482203316362192,9.246162063729312,9.035301405213618,8.736002361571614,0.6268520169811086,0.9616100603884344
SHAP_D_PRED,9.494233196759795,9.282450214682077,9.06141666542461,8.695515044947726,0.6188293076304753,0.9618501419295112
CF_SHAP,9.339394977394882,8.98552440122997,8.675979831005945,8.447851661120831,0.5469793287307462,0.9722596504301128
DenSHAP (ours),9.424044999201486,9.13046548346713,8.921460317155939,8.6123179404276,0.5496849280432633,0.9763393694182811
