lof_score,alpha,difficulty_group,knn_success,background_size,DenSHAP_validity,DenSHAP_CA_top1,DenSHAP_CA_top2,DenSHAP_CA_top3,DenSHAP_CA_top5,DenSHAP_plausibility,DenSHAP_bds
1.003921140183281,0.10684632026527002,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.4967226372872102,0.9699548867043017
1.1295243423782884,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,0.48608743274380445,0.9706802876853861
0.9502467430492997,0.0,Easy,True,100,1.0,0.833333333333333,0.8968253968253965,0.9920634920634919,1.8352007469654525,0.49323019177049343,0.991234807226386
0.9871924834999739,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.49427712128554174,0.9902176654253425
1.061393294205391,0.9497641428531093,Hard,True,100,1.0,10.0,10.0,10.0,2.912581699346406,0.6978891645121045,0.9686674417509543
1.0192612867892978,0.33183324124177394,Medium,True,100,1.0,10.0,10.0,10.0,10.0,0.4519379295705105,0.9909857000419799
1.036100405803657,0.5788049056137151,Medium,True,100,1.0,10.0,10.0,1.070423950170786,10.0,0.630511146769279,0.9788298917821736
1.0350237654707228,0.5630143137942765,Medium,True,100,1.0,10.0,10.0,10.0,10.0,0.5953002573557831,0.997423908198577
1.008416772194518,0.17278170080817237,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.477836124454285,0.9872102104370167
1.0053389581081211,0.1276408079326793,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.41453326202520513,0.9821781244196723
1.1525874632090112,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,0.6172042124619537,0.975770572520662
0.9967541675227377,0.001731607020875457,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.5522496246505727,1.0012211996357758
1.0067697263107935,0.1486252314077517,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.49932508376480644,0.9782892976812236
0.9894045978621333,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.5015913919998602,0.9831554912025918
0.9773992954687843,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.6357098304925619,0.9681818592486406
0.9877538860383858,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.4265678793409551,0.9845101562197728
1.1178726172961475,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,0.4624255107255012,0.9859855628182578
1.317713915465938,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,0.6022457990235426,0.9897183599123986
0.9936039978432174,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.5796446207385679,0.961850009353453
1.0067150875049076,0.14782386900764957,Easy,True,100,1.0,10.0,10.0,10.0,10.0,0.5801274198075486,0.9451217518010973
