Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,812,0.4759680838290286,1.066739492387296,9.424044999201486,9.13046548346713,8.921460317155939,8.6123179404276,0.5496849280432633,1.0,1.0,0.9763393694182811
Easy,370,0.085897309091891,0.9969587611473828,9.461281625205675,9.16889124338525,9.002472600173919,8.66699792118827,0.5532557250820613,1.0,1.0,0.9760900514887323
Medium,144,0.4865872900113158,1.029812788119668,9.39304199645165,9.01073965865286,8.704546595092886,8.416916716894908,0.5368227644565358,1.0,1.0,0.9770604238844636
Hard,298,0.9551527179313495,1.171223774176915,9.392792921263315,9.140609737170319,8.925691965680858,8.638848756894914,0.5514786443156533,1.0,1.0,0.9762996595957082
