Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.430909255301662,9.156129134277416,8.940626260384985,8.775184811040916,1.6797745869937777,0.9432572847784553
SHAP_D_LAB,9.301371380427891,8.918675411681319,8.630521218935327,8.563617487594337,1.6651676790498762,0.9442355629011486
SHAP_D_PRED,9.247960547740384,8.882873379210668,8.578378398391791,8.505676277646346,1.6520281345379777,0.9437895627965127
CF_SHAP,9.122804314860465,8.759138192454593,8.624921593004453,8.592718239155387,1.5057677552302713,0.9647662721932112
DenSHAP (ours),9.134977414895666,8.724588541099314,8.544683336236849,8.501976320684372,1.435736308278774,0.9726333532436985
