Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
LENDINGCLUB,Easy,1682,0.9802,0.9784,-0.19,↓0.2%
LENDINGCLUB,Medium,723,0.9776,0.978,0.04,↑0.0%
LENDINGCLUB,Hard,1595,0.9652,0.9744,0.96,↑1.0%
