Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,4000,0.5186353383009038,1.0597537100484438,9.220361540070822,8.824732032007459,8.59545001556654,8.47654208955168,1.0041092208190388,1.0,1.0,0.9764926733132512
Easy,1608,0.0864064128936299,0.9972365620435574,9.311013009768049,8.896971571831113,8.667396322111065,8.499109674484982,0.9987431408744292,1.0,1.0,0.9766750261904384
Medium,706,0.48670382360352343,1.0341807916586432,9.081243458897498,8.70846892848399,8.545917837422676,8.430827962235997,1.0070231809700325,1.0,1.0,0.9771409529472722
Hard,1686,0.9442389927678354,1.1300870756327002,9.192158575678906,8.804518847577528,8.54757341820353,8.47416100847939,1.0080068487456881,1.0,1.0,0.9760472943997659
