Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,846,0.5075196428581318,1.069988044984542,9.03290426110485,8.20552477933319,7.602105469764167,6.586802917123575,0.5563522870271228,1.0,1.0,0.9791086912341439
Easy,365,0.08200837490214768,0.9954941576860198,9.2050220958579,8.29913823647418,7.589751897997253,6.665376494237371,0.5552794292384151,1.0,1.0,0.9803709174589739
Medium,123,0.48135335686863895,1.0356458289268327,8.428986331541973,7.611664460085594,7.2780418443963715,5.566208517828579,0.5564452833944632,1.0,1.0,0.980377096701006
Hard,358,0.9503410562118798,1.1577376579428074,9.064912349516497,8.314116699475626,7.726040887683616,6.857344133511144,0.5574201368577276,1.0,1.0,0.9773763135810907
