Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.462586208708519,8.998343482909737,8.400495673556211,7.539308920367451,0.6724193455646775,0.9620296434989628
SHAP_D_LAB,9.215047337756042,8.542545047617851,7.822214064563097,6.841127454604829,0.6315039707777192,0.9633938605595314
SHAP_D_PRED,9.203842441203028,8.527508312830554,7.823123878985304,6.8857655598813,0.6270942051158486,0.9635389488504923
CF_SHAP,8.770119135885741,7.872845377723396,7.232031480410491,5.90790667999716,0.5548412647840287,0.9719694670698565
DenSHAP (ours),9.03290426110485,8.20552477933319,7.602105469764167,6.586802917123575,0.5563522870271228,0.9791086912341439
