Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
HELOC,Easy,917,0.9827,0.9776,-0.5194,↓0.52%
HELOC,Medium,324,0.9666,0.9739,0.7522,↑0.75%
HELOC,Hard,734,0.9412,0.9654,2.5631,↑2.56%
