Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,1975,0.4690385796891298,1.0789979475578124,9.124846754812397,8.866429949194869,8.737409371464448,8.62377357789221,1.4352389373311183,1.0,1.0,0.972448573920546
Easy,917,0.07688734186721204,1.0078158807263837,9.24857435886023,8.96692882466757,8.824787609643215,8.623493891686557,1.3678345138653771,1.0,1.0,0.9776167476170698
Medium,324,0.4829411384234968,1.056658010261802,8.974515516082976,8.733994852149614,8.537674034307743,8.453513290314888,1.4450879915321961,1.0,1.0,0.9738989051553493
Hard,734,0.9528236696792709,1.1777882676781497,9.036630281292602,8.799333903737368,8.716412647798021,8.699278762395801,1.5151010119318478,1.0,1.0,0.96535167664563
