Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
LENDINGCLUB,Easy,1608,0.9757,0.9767,0.098,↑0.10%
LENDINGCLUB,Medium,706,0.9755,0.9771,0.165,↑0.16%
LENDINGCLUB,Hard,1686,0.969,0.976,0.7242,↑0.72%
