CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds
True,10.0,10.0,10.0,10.0,1.857010780313384,0.9564810191119713,10.0,10.0,10.0,10.0,1.437239942638311,0.9925949894333698,10.0,10.0,10.0,10.0,1.2874017804162907,0.9792381660911288,10.0,10.0,10.0,10.0,1.478423228813457,0.9829291023670064,10.0,10.0,10.0,10.0,1.5512885967037786,0.9741354504125155
True,10.0,10.0,10.0,10.0,1.72891748579379,0.922748678064439,10.0,10.0,10.0,10.0,1.4834026602412105,0.9604141985415924,10.0,10.0,10.0,10.0,1.709824241971304,0.9424563903864958,10.0,10.0,10.0,10.0,1.5155132903639086,0.9526025120409182,10.0,10.0,10.0,10.0,1.6522830257112129,0.9328468432972988
True,10.0,10.0,10.0,10.0,1.621227442313791,0.9737378083798492,10.0,10.0,10.0,10.0,1.7492198930111595,0.940166034582149,10.0,10.0,10.0,10.0,1.5492144844240168,0.9323177401970644,10.0,10.0,10.0,10.0,1.2899927187952671,0.9834346564094596,10.0,10.0,10.0,10.0,1.2692780256459542,0.9966746792812538
True,10.0,10.0,10.0,10.0,2.115787103482813,0.9004461154418102,10.0,10.0,10.0,10.0,1.7006307442214277,0.8998215505685968,10.0,10.0,10.0,10.0,1.344514486704013,0.9527647326285132,10.0,10.0,10.0,10.0,1.264983826230779,0.9864532281920768,10.0,10.0,10.0,10.0,1.3581076292134364,0.9722340721731383
True,10.0,10.0,10.0,10.0,1.3947802797203728,0.9800052562302576,10.0,10.0,10.0,10.0,1.1717518183664646,0.9935612612031074,10.0,10.0,10.0,10.0,1.309760272012124,0.9542518437133244,10.0,10.0,10.0,10.0,1.4413945485680912,0.9975938276761964,10.0,10.0,10.0,10.0,1.4174521589536735,0.9929813343647529
True,10.0,10.0,10.0,10.0,1.6072487482780928,0.9451264336651533,10.0,10.0,10.0,10.0,1.4931568647636957,0.9618091325058524,10.0,10.0,10.0,10.0,1.4766395643248569,0.9662784034992292,10.0,10.0,10.0,1.751470588235294,1.1905608117416293,0.9925952943423096,10.0,10.0,10.0,2.2688775510204082,1.2625238740811233,0.9641597391627744
True,10.0,10.0,10.0,10.0,1.83818655737892,0.8953019118150497,10.0,10.0,10.0,10.0,1.564836737552985,0.9562197576796072,10.0,10.0,10.0,10.0,2.142950653516055,0.9126187907116912,10.0,10.0,10.0,10.0,1.084019997288746,0.9931008763510878,10.0,10.0,10.0,10.0,1.0745411969299163,0.9923792071161422
True,10.0,10.0,0.7551020408163265,1.3369202226345085,1.4841302835498418,0.9848623535192196,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.2551020408163267,1.6051711466250336,0.9576360594230262,0.4,1.1551020408163266,1.1551020408163266,1.4369202226345086,1.7433777168624438,0.9448532427428326,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.5732838589981448,1.59570315717821,0.9688735273447184,0.7551020408163265,0.7551020408163265,1.1551020408163266,1.6551020408163266,1.6332680883938615,0.9704920919753579
True,10.0,10.0,10.0,10.0,1.6180728220988565,0.9347771609357348,10.0,10.0,10.0,10.0,2.075811732859461,0.9307963136430348,10.0,10.0,10.0,10.0,1.6641952055512004,0.9466902162380972,10.0,10.0,10.0,10.0,1.7718512892616822,0.9931407822172104,10.0,10.0,10.0,10.0,1.8279639084550154,0.9687069440724251
True,10.0,10.0,10.0,10.0,1.8476069751674444,0.9328488620328128,10.0,10.0,10.0,10.0,1.7467645822414002,0.907977247479326,10.0,10.0,10.0,10.0,1.7271903630322196,0.938207597803418,10.0,10.0,10.0,10.0,0.9676042215332168,1.0098280117241365,10.0,10.0,10.0,10.0,1.1030306367797094,0.9853655649184752
True,10.0,10.0,10.0,10.0,1.6946837676271396,0.9381587050300638,10.0,10.0,10.0,10.0,1.8714935397078816,0.9422439587518998,10.0,10.0,10.0,10.0,1.468827148895785,0.986684029709075,10.0,10.0,10.0,10.0,1.1124990189777042,0.9288292958620794,10.0,10.0,10.0,10.0,1.0522825927450854,0.9382765134018408
True,10.0,10.0,10.0,10.0,1.8012351218650564,0.956120455290335,10.0,10.0,10.0,10.0,1.5383554627796263,0.90907893284582,10.0,10.0,10.0,10.0,1.644914506788052,0.9425769898714806,10.0,10.0,10.0,10.0,1.6849114935437648,1.0032047898800205,10.0,10.0,10.0,10.0,1.7020315782780961,1.0039299239524495
True,10.0,10.0,10.0,10.0,2.020904961962028,0.90958860712642,10.0,10.0,10.0,10.0,2.1281293557544068,0.9249779469461974,10.0,10.0,10.0,10.0,1.4622675161794505,0.9589572018065572,10.0,10.0,10.0,10.0,1.9200173349116727,0.973660336284256,10.0,10.0,10.0,10.0,1.920773223221195,0.97498033744575
True,10.0,10.0,10.0,10.0,1.7967258586685506,0.953484734452194,10.0,10.0,10.0,10.0,1.4529433593009171,0.9337021307717605,10.0,10.0,10.0,10.0,1.8056661207318303,0.9528608119080748,10.0,10.0,10.0,10.0,2.0247340497116517,0.9071922851845288,10.0,10.0,10.0,10.0,2.0232786624983317,0.9137598654375161
True,10.0,10.0,10.0,10.0,1.4791578632082143,0.9706251752962624,10.0,10.0,10.0,10.0,1.6576789644350955,0.9484522470034108,10.0,10.0,10.0,10.0,1.489462315935574,0.958334644670523,10.0,10.0,10.0,10.0,1.42789613010232,0.986281263420657,10.0,10.0,10.0,10.0,1.3767302601154439,0.9977897489155232
True,10.0,10.0,10.0,10.0,1.7293120512728812,0.9035476537731328,10.0,10.0,10.0,10.0,1.4737788618944976,0.9393019838725076,10.0,10.0,10.0,10.0,1.7160185430029842,0.9432914062379056,10.0,10.0,10.0,10.0,1.124987788131926,0.997650275388542,10.0,10.0,10.0,10.0,1.108962304460287,0.9989856048801968
True,10.0,10.0,10.0,10.0,1.692557040590163,0.9373387670818404,10.0,10.0,10.0,10.0,1.4709400813638722,0.9371236313507408,10.0,10.0,10.0,10.0,1.5003936262494264,0.9566499865049714,10.0,10.0,10.0,10.0,1.3953051427776173,1.0074774830779971,10.0,10.0,10.0,10.0,1.5592342175399982,0.9782082574057895
True,10.0,10.0,10.0,10.0,1.6416683356052748,0.9714649516971876,10.0,10.0,10.0,10.0,1.659307001267441,0.9743048926622851,10.0,10.0,10.0,10.0,1.545169669869321,0.9412869357031204,10.0,10.0,10.0,10.0,1.5117613670882313,0.945212294131825,10.0,10.0,10.0,10.0,1.4627580913855351,0.9287069640165599
True,10.0,10.0,10.0,10.0,1.4879332333702189,0.9412300864318786,10.0,10.0,10.0,10.0,1.9210097223822915,0.9015066543164296,10.0,10.0,10.0,10.0,1.8225414269483136,0.9380173434115152,10.0,10.0,10.0,10.0,1.5019115587633318,0.9620845764421496,10.0,10.0,10.0,10.0,1.5108321950675307,0.9442741488397104
True,0.8,0.890909090909091,1.1409090909090909,1.2318181818181817,2.2984405486237125,0.8571638566214255,0.8,0.890909090909091,1.1409090909090909,1.456307977736549,1.7022841746585875,0.9530670702069898,0.8,1.05,1.2744897959183674,1.456307977736549,1.7792905033068187,0.9781767937218226,0.8,1.0244897959183674,1.2744897959183674,1.6320655534941249,1.5943555031199117,0.9724437682189347,0.8,0.890909090909091,1.1575757575757575,1.6320655534941249,1.5142127693018987,0.982727277545543
True,10.0,10.0,10.0,10.0,1.6843319521220128,0.9570006083089057,10.0,10.0,10.0,10.0,1.3159588185932365,0.9835046214176127,10.0,10.0,10.0,10.0,1.2838848738421818,0.931381825463211,10.0,10.0,10.0,10.0,1.6218322723614265,0.9823140607486912,10.0,10.0,10.0,10.0,1.7014427339460128,0.9707814060849834
True,10.0,10.0,10.0,10.0,2.0506803775294693,0.9379722954246704,10.0,10.0,10.0,10.0,1.2719258400543758,0.9780655432673452,10.0,10.0,10.0,10.0,1.6158343534942514,0.9547324922320496,10.0,10.0,10.0,10.0,1.5350464441182743,0.9446496691265064,10.0,10.0,10.0,10.0,1.5658128678956833,0.979278503030512
True,0.6,0.7,0.7,1.176502311248074,1.674645707962617,0.928992744711544,0.6,0.7,0.7,1.0409090909090908,1.6673639350713458,0.9490699557756402,0.6,0.7,0.7,1.2075757575757575,1.7370077338173169,0.941645293592938,0.6,0.7,0.8666666666666666,1.0484848484848484,1.061175958257296,1.0046870198105478,10.0,0.7,0.8666666666666666,1.1840780688238315,0.9657796612773037,1.010990922417183
True,10.0,10.0,10.0,10.0,1.7723786073116323,0.946316077933528,10.0,10.0,10.0,10.0,1.7813199986545278,0.938422853159408,10.0,10.0,10.0,10.0,1.449867552072171,0.944965340450348,10.0,10.0,10.0,10.0,2.104041025592374,0.8866364999008104,10.0,10.0,10.0,10.0,2.5123150953616173,0.8467618001775723
True,10.0,10.0,10.0,10.0,1.6208070827474494,0.9343272388565752,10.0,10.0,10.0,10.0,1.3655997209342567,0.9831555748432904,10.0,10.0,10.0,10.0,1.8345217769819349,0.9544277354413302,10.0,10.0,10.0,10.0,1.1119856105204482,0.9478467264976924,10.0,10.0,10.0,10.0,1.1580508476753237,0.9473640440118407
True,10.0,10.0,10.0,10.0,1.4823170142793007,0.9712027581349808,10.0,10.0,10.0,10.0,1.9638327782648053,0.9107357687852076,10.0,10.0,10.0,10.0,1.9214136341650392,0.9366069507783902,10.0,10.0,10.0,10.0,1.5001445582667174,0.9576701859751934,10.0,10.0,10.0,10.0,1.4008479311797848,0.9643504152955567
True,10.0,10.0,0.7749999999999999,1.171186440677966,1.6293592913211996,0.9061785182324164,10.0,10.0,0.7749999999999999,1.171186440677966,1.587018338869923,0.9461154420341672,10.0,0.7749999999999999,0.7749999999999999,1.171186440677966,1.6796859992105362,0.914928654743288,10.0,0.7749999999999999,0.7749999999999999,1.1128531073446326,0.9699056207406392,1.0102762671830914,10.0,0.7749999999999999,0.7749999999999999,1.1128531073446326,1.0079484689535412,1.002736164822606
True,1.1333333333333333,1.6,2.5183673469387755,3.560034013605442,1.7981040857999582,0.9678844231406424,1.1333333333333333,2.0517006802721087,2.5183673469387755,3.150943104514533,1.6601345195669135,0.9473222226506328,1.1333333333333333,2.0517006802721087,2.5183673469387755,3.385034013605442,1.4990446995639268,0.976401827668002,1.1333333333333333,2.0517006802721087,2.5517006802721087,3.1092764378478663,1.9138899221650791,0.9502854554057804,1.1333333333333333,1.6333333333333333,2.5517006802721087,3.3433673469387757,1.8128864345240907,0.97092016185561
True,10.0,10.0,10.0,10.0,2.247409145990375,0.9260745847757066,10.0,10.0,10.0,10.0,1.674783642988082,0.9483772374375754,10.0,10.0,10.0,10.0,2.225655253547413,0.9298827250861724,10.0,10.0,10.0,10.0,1.501460376301906,0.9764407801247788,10.0,10.0,10.0,10.0,1.5515885025652871,0.9722734480311933
True,10.0,10.0,1.9333333333333331,2.45095856524428,1.4873403212210754,0.9792838643634107,10.0,10.0,1.9333333333333331,2.2448979591836737,1.5002173332532442,0.9473312576197032,10.0,10.0,10.0,2.2448979591836737,1.5523449535217526,0.9401256977259648,10.0,10.0,10.0,2.2448979591836737,1.1886089898623722,0.9467938845058964,10.0,10.0,10.0,2.2448979591836737,1.2005866796469864,0.9299980098605056
True,10.0,10.0,10.0,10.0,1.5830340616987912,0.9636934006911384,10.0,10.0,10.0,10.0,1.6607691899073262,0.952080902820298,10.0,10.0,10.0,10.0,1.706796401142021,0.9537570046979224,10.0,10.0,10.0,10.0,1.5794500529690372,0.9329001805653468,10.0,10.0,10.0,10.0,1.326618036847989,0.9451298970811719
True,10.0,10.0,10.0,10.0,1.522889693545161,0.9496739508440132,10.0,10.0,10.0,10.0,1.8005487891338228,0.95455226335427,10.0,10.0,10.0,10.0,2.1188422713620296,0.9309846287392872,10.0,10.0,10.0,10.0,1.0793304337641036,1.0134472452532952,10.0,10.0,10.0,10.0,1.1526069055623318,1.0007343306516605
True,10.0,10.0,10.0,10.0,1.594286471684223,0.982018543108152,10.0,10.0,10.0,10.0,1.3427609403471454,0.9538679424756328,10.0,10.0,10.0,10.0,1.5074953398200548,0.9719191775071552,10.0,10.0,10.0,10.0,1.569766403796787,1.0039666633386872,10.0,10.0,10.0,10.0,1.5382816509782047,0.9945934562823254
True,10.0,10.0,10.0,10.0,1.5166070977139343,0.9695248851810634,10.0,10.0,10.0,10.0,1.9266958568681616,0.9151618795390078,10.0,10.0,10.0,10.0,1.973102053636015,0.9285326852827704,10.0,10.0,10.0,10.0,1.2734370624732474,0.9981347029523384,10.0,10.0,10.0,10.0,1.3823388137760388,0.9764382398775057
True,10.0,10.0,10.0,10.0,1.4015660181831693,0.9614511155530387,10.0,10.0,10.0,10.0,1.780142660438475,0.9068676266269003,10.0,10.0,10.0,10.0,1.8317781328036489,0.9372097108249082,10.0,10.0,10.0,10.0,0.9283289640470326,0.999483994718591,10.0,10.0,10.0,10.0,0.8741621046339251,1.0055046911507508
True,10.0,10.0,10.0,3.694557823129252,2.144238293296758,0.8930706841313905,10.0,10.0,10.0,3.78495330335524,1.4824842455649558,0.9330973330684552,10.0,10.0,10.0,3.694557823129252,1.454485043912126,0.9633361780420018,10.0,10.0,2.8612244897959185,3.694557823129252,1.4975034025413845,0.9750825886938664,10.0,10.0,2.1945578231292515,3.244557823129252,1.6459946157898375,0.9625867594352921
True,10.0,10.0,10.0,10.0,1.813596298113276,0.9314089381569768,10.0,10.0,10.0,10.0,1.6861431131389704,0.9546147347075904,10.0,10.0,10.0,10.0,1.3176830551691947,0.9689527808753962,10.0,10.0,10.0,10.0,1.477843079713,0.983017012738038,10.0,10.0,10.0,10.0,1.4691969138841596,0.9904952759069902
True,10.0,10.0,10.0,3.2583333333333337,1.940052913752598,0.9425657177926722,10.0,10.0,3.191666666666667,3.339965986394558,1.78944770507916,0.9506660061865808,10.0,10.0,3.191666666666667,3.339965986394558,1.620481022585205,0.952106557348774,10.0,10.0,3.191666666666667,3.339965986394558,2.0268653556292366,0.9782284706343451,10.0,10.0,3.191666666666667,3.273299319727891,1.9974331042902649,0.9643817860902034
True,10.0,10.0,10.0,10.0,1.904482739303105,0.9329321305669114,10.0,10.0,10.0,10.0,1.7561209575502836,0.947395212673193,10.0,10.0,10.0,10.0,1.852039965158601,0.9579665547621502,10.0,10.0,10.0,10.0,1.2303287159711904,0.9900111051034252,10.0,10.0,10.0,10.0,1.1496499120624057,0.993078412629427
True,10.0,10.0,10.0,10.0,1.731954032068299,0.9165643738315143,10.0,10.0,10.0,10.0,1.6491512858321342,0.9505554750344444,10.0,10.0,10.0,10.0,2.158033944142908,0.9302829841197175,10.0,10.0,10.0,10.0,1.270636567010491,0.9658055868873958,10.0,10.0,10.0,10.0,1.310769231553362,0.990854199125477
True,10.0,10.0,10.0,10.0,1.890842219252041,0.953502215954414,10.0,10.0,10.0,10.0,1.4351803500817026,0.9399485525018048,10.0,10.0,10.0,10.0,1.6481263970008098,0.8997084461946352,10.0,10.0,10.0,10.0,1.5646138016764597,0.9675649640776166,10.0,10.0,10.0,10.0,1.8761000410436022,0.9636235668796175
True,10.0,10.0,10.0,10.0,1.4920337635663872,0.9667420390006622,10.0,10.0,10.0,10.0,1.6657312604216297,0.9529118881375372,10.0,10.0,10.0,10.0,1.87869286023424,0.9139252265834428,10.0,10.0,10.0,10.0,1.872227018803512,0.9752077353709072,10.0,10.0,10.0,10.0,1.7672069675274593,0.9677797835852322
True,10.0,10.0,10.0,10.0,1.5626065320917282,0.9497097202778836,10.0,10.0,10.0,10.0,1.8008772355235052,0.9416528544158104,10.0,10.0,10.0,10.0,1.6609089738840666,0.9521275637399484,10.0,10.0,10.0,10.0,0.9794925085038038,1.0106353954386715,10.0,10.0,10.0,10.0,1.0758620062693356,0.9815270513064338
True,10.0,10.0,10.0,10.0,2.032047291053072,0.8967302880273236,10.0,10.0,10.0,10.0,1.4564320431509037,0.9610132196304844,10.0,10.0,10.0,10.0,1.824056145690872,0.9199917492573082,10.0,10.0,10.0,10.0,1.0967938539848574,0.9963218276683644,10.0,10.0,10.0,10.0,1.0638437092455295,1.0007397077296654
True,10.0,10.0,10.0,10.0,1.5599237825827506,0.9518433330900378,10.0,10.0,10.0,10.0,1.4339371393650062,0.9590466269913496,10.0,10.0,10.0,10.0,1.463437517936644,0.9516493838991116,10.0,10.0,10.0,10.0,2.1461081898288352,0.9395806504943834,10.0,10.0,10.0,10.0,2.0565644345468397,0.9664674389056689
True,10.0,10.0,10.0,10.0,1.576243257954665,0.9379912053998838,10.0,10.0,10.0,10.0,1.4237866043599623,0.9285256456437194,10.0,10.0,10.0,10.0,1.864399305828498,0.8843375952708247,10.0,10.0,10.0,10.0,2.2357090575736107,0.8784513228262518,10.0,10.0,10.0,10.0,2.166902069726777,0.8646205961279303
True,10.0,10.0,10.0,10.0,1.6268695491109006,0.9557407837372972,10.0,10.0,10.0,10.0,1.5396897067818736,0.9470818645197984,10.0,10.0,10.0,10.0,1.372302046909796,0.9498599570291832,10.0,10.0,10.0,10.0,1.9582462197016213,0.8862129654019117,10.0,10.0,10.0,10.0,1.9464406760771003,0.9442550035153335
True,10.0,10.0,10.0,10.0,1.6683182858540455,0.9510932641670856,10.0,10.0,10.0,10.0,1.896197371738277,0.9294024282129256,10.0,10.0,10.0,10.0,1.9679257044710208,0.9474785778820964,10.0,10.0,10.0,10.0,1.3936916980479768,0.890308142650025,10.0,10.0,10.0,10.0,1.2988048719721794,0.9151339143966488
True,10.0,10.0,10.0,2.0249536178107608,1.5389039727289129,0.9292602631840784,10.0,0.7666666666666666,1.2212121212121212,2.271212121212121,1.4250760192252572,0.9873074299880096,0.2666666666666666,0.7666666666666666,1.2212121212121212,2.271212121212121,1.345329503660481,0.994221594487104,0.2666666666666666,0.7212121212121212,1.121212121212121,1.6666666666666663,1.8345069059174783,0.8928463707597274,0.26666666666666666,0.7212121212121212,1.1212121212121213,1.6666666666666665,1.9809169233691624,0.8822128043497155
True,10.0,10.0,10.0,10.0,1.4746856524136156,0.9817552730384972,10.0,10.0,10.0,10.0,1.6949829253611786,0.9391800567104414,10.0,10.0,10.0,10.0,1.36650304803711,0.961071157582172,10.0,10.0,10.0,10.0,1.602739662499808,0.975777042029666,10.0,10.0,10.0,10.0,1.91503268795334,0.9794997440328703
True,10.0,10.0,10.0,10.0,2.120723283461488,0.9053073941050904,10.0,10.0,10.0,10.0,1.7467177550914212,0.9729141827867532,10.0,10.0,10.0,10.0,1.7243769401056386,0.9557959202615084,10.0,10.0,10.0,10.0,1.062936789898113,1.0007890052075743,10.0,10.0,10.0,10.0,1.125625260899713,1.0078113359844099
True,10.0,10.0,10.0,10.0,1.972968546717501,0.8837833839536969,10.0,10.0,10.0,10.0,1.5279313563032122,0.9232559572924034,10.0,10.0,10.0,10.0,1.8054913765771512,0.9472988966399598,10.0,10.0,10.0,10.0,0.9998017374665884,1.0093440749555391,10.0,10.0,10.0,10.0,1.0080964429401236,1.004149676335382
True,10.0,0.9619047619047618,0.9619047619047618,1.0783820346320343,1.4425378678340892,0.9548347079398436,0.5333333333333333,0.9619047619047618,0.9619047619047618,1.0846320346320346,1.4465031490711937,0.9728246042069362,0.5333333333333333,0.9619047619047618,0.9619047619047618,1.0846320346320346,1.4591290799837449,0.9740020787167096,0.5333333333333333,0.9619047619047618,0.9619047619047618,1.2762987012987013,1.015070409162761,1.0094363550146634,0.5333333333333333,0.9619047619047618,1.2535714285714286,1.3535714285714286,1.0611199274415655,1.0005652519580084
True,10.0,10.0,10.0,10.0,1.631387849040788,0.974060090829129,10.0,10.0,10.0,10.0,1.9136245145212567,0.9347630869766216,10.0,10.0,10.0,10.0,1.8310913683101135,0.963658721391433,10.0,10.0,10.0,10.0,1.0706429880437844,1.013550558534854,10.0,10.0,10.0,10.0,1.0893132188327541,1.006529928072184
True,10.0,10.0,10.0,1.4166666666666663,1.3581313781580406,0.95112222498993,10.0,10.0,10.0,10.0,1.8322312572557864,0.8946754270033329,10.0,10.0,10.0,10.0,1.282630546244137,0.964180049655188,10.0,10.0,0.85,2.35,1.8223137368094864,0.9679785532165296,10.0,10.0,10.0,10.0,1.8955081431235201,0.9502633150159374
True,10.0,1.2,1.363265306122449,1.7715986394557823,1.5252627363790965,0.9551143121032252,10.0,1.2,1.363265306122449,1.7715986394557823,1.5980209788610482,0.9375660984516336,10.0,1.2,1.363265306122449,1.7715986394557823,1.543967883425241,0.9423469116621296,10.0,10.0,1.363265306122449,1.904931972789116,1.5151304832917876,0.976431744450134,10.0,1.2,1.2416666666666667,1.9049319727891156,1.5353518532717263,0.9385083484750435
True,10.0,10.0,10.0,10.0,1.7194179592641716,0.9161489190479216,10.0,10.0,10.0,10.0,1.491297512440338,0.9383582336855432,10.0,10.0,10.0,10.0,1.4586316640037398,0.9505633286230708,10.0,10.0,10.0,10.0,1.531055370248664,0.9924730096313364,10.0,10.0,10.0,10.0,1.493846051650409,0.9851370158123125
True,10.0,10.0,10.0,10.0,1.8503456037246264,0.9296491919393808,10.0,10.0,10.0,10.0,1.7013369014942508,0.943251896143256,10.0,10.0,10.0,10.0,1.719253876468473,0.9300089702060396,10.0,10.0,10.0,10.0,1.107679022684697,0.9617272385553224,10.0,10.0,10.0,10.0,1.1403588389840364,0.9453799155201006
True,10.0,10.0,10.0,10.0,1.3552344944599537,0.9503800566504425,10.0,10.0,10.0,10.0,2.0163709169493176,0.9141376268251004,10.0,10.0,10.0,10.0,1.6809490414654138,0.9558299092584412,10.0,10.0,10.0,10.0,1.1735286189933678,0.9533430829031668,10.0,10.0,10.0,10.0,1.1921222976960475,0.9563112947143828
True,10.0,10.0,10.0,10.0,1.639588431663166,0.9421518557934278,10.0,10.0,10.0,10.0,1.531862689632682,0.97032603395856,10.0,10.0,10.0,10.0,1.5207030301344049,0.9364594871865136,10.0,10.0,10.0,10.0,2.410958022016334,0.9253813098478652,10.0,10.0,10.0,10.0,2.3529686257183373,0.9359284284880331
True,10.0,10.0,1.2156462585034014,2.440646258503401,1.531487932899825,0.9526703618699844,10.0,0.7156462585034014,1.2156462585034014,1.7838280766852197,1.4909796686927612,0.9936572451751604,10.0,0.7156462585034014,1.2156462585034014,1.806555349412492,1.457582099617693,0.95470706513458,10.0,0.7156462585034014,1.2156462585034014,1.5338280766852197,2.18305065644425,0.9725736861911738,10.0,0.7666666666666666,1.2156462585034014,2.1906462585034014,2.21605106083173,0.9478754390252258
True,10.0,10.0,10.0,10.0,1.6549077579604945,0.9586710195592324,10.0,10.0,10.0,10.0,1.6264840887322474,0.9773974636472168,10.0,10.0,10.0,10.0,1.5367225511036176,0.928735663524998,10.0,10.0,10.0,10.0,1.1202257751881264,0.9840109237430976,10.0,10.0,10.0,10.0,1.143633589106398,0.9888028919734684
True,10.0,10.0,10.0,10.0,1.8370923617903243,0.9097312890278092,10.0,10.0,10.0,10.0,1.6691197284572268,0.9395839418732604,10.0,10.0,10.0,10.0,1.6401666847455751,0.9528426076835054,10.0,10.0,10.0,10.0,1.6988911101568178,0.9840916211329348,10.0,10.0,10.0,10.0,1.653397925553787,0.9912286627879274
True,10.0,10.0,10.0,2.0090136054421768,1.800223672157132,0.9682999128519169,10.0,0.8673469387755102,1.0923469387755105,2.0090136054421768,1.6210361589989,0.927545790847648,0.3673469387755102,0.8673469387755102,1.0923469387755105,1.7423469387755102,1.4225206819002445,0.9276549686623512,0.3673469387755102,0.5923469387755103,1.1756802721088435,1.924165120593692,1.0594864357968288,1.009617579726282,0.3673469387755102,0.5923469387755103,1.1756802721088437,1.9241651205936918,1.0827815548712378,0.995869043832734
