Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
HELOC,20,Easy,928,0.9851,0.9887,0.9777,-0.75,-1.11
HELOC,20,Medium,339,0.9636,0.9676,0.9728,0.96,0.54
HELOC,20,Hard,708,0.9385,0.9375,0.9641,2.72,2.83
