Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
LENDINGCLUB,20,Easy,1682,0.9803,0.9801,0.9786,-0.17,-0.15
LENDINGCLUB,20,Medium,723,0.9779,0.9782,0.9782,0.03,0.0
LENDINGCLUB,20,Hard,1595,0.9651,0.9629,0.9755,1.08,1.31
