Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
WINE,20,Easy,290,0.9782,0.9713,0.9801,0.19,0.91
WINE,20,Medium,93,0.9759,0.9771,0.9799,0.41,0.28
WINE,20,Hard,236,0.9652,0.9781,0.9769,1.21,-0.12
