Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
HELOC,50,Easy,956,0.987,0.991,0.9813,-0.58,-0.98
HELOC,50,Medium,327,0.9695,0.9702,0.9766,0.73,0.66
HELOC,50,Hard,692,0.9366,0.9354,0.9668,3.23,3.36
