Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
WINE,50,Easy,323,0.9795,0.9721,0.9792,-0.03,0.73
WINE,50,Medium,83,0.9773,0.9714,0.9761,-0.12,0.48
WINE,50,Hard,213,0.96,0.9745,0.9746,1.53,0.01
