Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
LENDINGCLUB,50,Easy,1810,0.9839,0.9845,0.9799,-0.41,-0.47
LENDINGCLUB,50,Medium,714,0.9783,0.9775,0.9776,-0.08,0.0
LENDINGCLUB,50,Hard,1476,0.9521,0.9479,0.9709,1.98,2.43
