Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
LENDINGCLUB,Easy,1754,0.9823,0.9795,-0.2802,↓0.28%
LENDINGCLUB,Medium,737,0.9792,0.9776,-0.1621,↓0.16%
LENDINGCLUB,Hard,1509,0.9603,0.9737,1.3882,↑1.39%
