Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
HELOC,Easy,963,0.9857,0.9802,-0.5563,↓0.56%
HELOC,Medium,329,0.966,0.9732,0.7508,↑0.75%
HELOC,Hard,683,0.9372,0.9663,3.0959,↑3.10%
