CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.857010780313384,0.9507531650718798,10.0,10.0,10.0,10.0,1.437239942638311,0.9937287353062446,10.0,10.0,10.0,10.0,1.2874017804162907,0.974396722884725,10.0,10.0,10.0,10.0,1.478423228813457,0.9848671751627643
True,10.0,10.0,10.0,10.0,1.7289174857937901,0.9280047700198841,10.0,10.0,10.0,10.0,1.4834026602412105,0.963863137185937,10.0,10.0,10.0,10.0,1.709824241971304,0.9443416514489144,10.0,10.0,10.0,10.0,1.5155132903639086,0.9536486856404462
True,10.0,10.0,10.0,10.0,1.6212274423137907,0.973888061689345,10.0,10.0,10.0,10.0,1.7492198930111595,0.9357162785583928,10.0,10.0,10.0,10.0,1.5492144844240168,0.9319244575045381,10.0,10.0,10.0,10.0,1.2899927187952673,0.9835476090603834
True,10.0,10.0,10.0,10.0,2.1157871034828135,0.9001981795611611,10.0,10.0,10.0,10.0,1.7006307442214275,0.9063272684627123,10.0,10.0,10.0,10.0,1.344514486704013,0.9560339270378131,10.0,10.0,10.0,10.0,1.2649838262307793,0.99305575583564
True,10.0,10.0,10.0,10.0,1.3947802797203728,0.9840378213903141,10.0,10.0,10.0,10.0,1.1717518183664646,0.9979852036109037,10.0,10.0,10.0,10.0,1.309760272012124,0.9558605242088382,10.0,10.0,10.0,10.0,1.4413945485680912,0.9964869961773262
True,10.0,10.0,10.0,10.0,1.6072487482780928,0.9481053036657,10.0,10.0,10.0,10.0,1.4931568647636955,0.9591233009054001,10.0,10.0,10.0,10.0,1.4766395643248567,0.966339741909969,10.0,10.0,10.0,1.7514705882352941,1.1905608117416293,0.9927914651815606
True,10.0,10.0,10.0,10.0,1.8381865573789196,0.8950416098560785,10.0,10.0,10.0,10.0,1.564836737552985,0.9578086612634149,10.0,10.0,10.0,10.0,2.142950653516055,0.906221555783492,10.0,10.0,10.0,10.0,1.084019997288746,0.9935903115080176
True,10.0,10.0,0.7551020408163265,1.3369202226345085,1.4841302835498418,0.9838512721435867,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.2551020408163267,1.6051711466250336,0.9516233866659727,0.4,1.1551020408163266,1.1551020408163266,1.4369202226345086,1.7433777168624438,0.9503556545884072,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.5732838589981448,1.59570315717821,0.9678452418270908
True,10.0,10.0,10.0,10.0,1.6180728220988563,0.9344003111014928,10.0,10.0,10.0,10.0,2.075811732859461,0.9260547287809088,10.0,10.0,10.0,10.0,1.6641952055512004,0.9438188983898362,10.0,10.0,10.0,10.0,1.7718512892616822,0.9948145968035138
True,10.0,10.0,10.0,10.0,1.8476069751674444,0.9250116546597391,10.0,10.0,10.0,10.0,1.7467645822414002,0.9121541487002365,10.0,10.0,10.0,10.0,1.7271903630322196,0.9378571461043064,10.0,10.0,10.0,10.0,0.9676042215332167,1.0084710841531557
True,10.0,10.0,10.0,10.0,1.6946837676271396,0.9409366580240264,10.0,10.0,10.0,10.0,1.8714935397078818,0.9425359607532029,10.0,10.0,10.0,10.0,1.468827148895785,0.9908201131982312,10.0,10.0,10.0,10.0,1.1124990189777042,0.9276768128292574
True,10.0,10.0,10.0,10.0,1.8012351218650564,0.948225459458967,10.0,10.0,10.0,10.0,1.5383554627796265,0.9157966257433078,10.0,10.0,10.0,10.0,1.644914506788052,0.9426024526781369,10.0,10.0,10.0,10.0,1.6849114935437648,1.0036048223876963
