Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,4000,0.47989704014565054,1.0510540951752956,9.224234413235827,8.81619548166448,8.58724745471726,8.479639361392492,1.0015136026646376,1.0,1.0,0.9769644749499675
Easy,1754,0.0770917910363324,0.9977300382436136,9.25636822030058,8.87170506086017,8.662679720699508,8.552813122837991,0.9770510855656457,1.0,1.0,0.9795301901981752
Medium,737,0.4853832265059422,1.0282556193369294,9.17136475036969,8.806208213197051,8.64876218367487,8.48225526387232,1.0078826860447267,1.0,1.0,0.9776272590091537
Hard,1509,0.9454219490854844,1.1241706442482218,9.21270508516476,8.75655122384556,8.469524095025667,8.393307553769535,1.0268371550440318,1.0,1.0,0.9736584866153245
