CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.4295675752700654,0.9630504831162767,10.0,10.0,10.0,10.0,1.8472047113536447,0.9634039717795677,10.0,10.0,10.0,10.0,1.728912499044636,0.9350913643559668,10.0,10.0,10.0,10.0,1.9500236382385385,0.765471996062237,10.0,10.0,10.0,10.0,1.5826478305803078,0.8444725992120933
True,10.0,10.0,10.0,10.0,1.8448598136974241,0.9421438063923284,10.0,10.0,10.0,10.0,1.7809887785849081,0.9552770842556612,10.0,10.0,10.0,10.0,1.9283260958569322,0.9073856827867258,10.0,10.0,10.0,10.0,1.2225055976846257,0.9727132078098082,10.0,10.0,10.0,10.0,1.361887005508849,0.9468166636117168
True,10.0,10.0,10.0,10.0,1.579176543036459,0.9100904699840383,10.0,10.0,10.0,10.0,1.756150336327169,0.9273156203084909,10.0,10.0,10.0,10.0,1.566614765648533,0.8779977648820763,10.0,10.0,10.0,10.0,1.6460846624911682,0.9848677092875457,10.0,10.0,10.0,10.0,1.5869749689213974,0.9926555595491632
True,10.0,10.0,10.0,10.0,2.021013813580201,0.9347082695173106,10.0,10.0,10.0,10.0,1.4966403214623418,0.9506352154694614,10.0,10.0,10.0,10.0,1.4161216481063994,0.9263704656517092,10.0,10.0,10.0,10.0,1.8739133312626433,0.9149219868076852,10.0,10.0,10.0,10.0,1.6166684929214281,0.8992923807312406
True,10.0,10.0,10.0,10.0,1.5523766704567534,0.9054123828257363,10.0,10.0,10.0,10.0,1.5965594631753066,0.9618607397797023,10.0,10.0,10.0,10.0,1.8087814777033533,0.9530601970320868,10.0,10.0,10.0,10.0,0.9778310664015919,1.0051375967336238,10.0,10.0,10.0,10.0,1.019725536482168,0.9974919414998142
True,10.0,10.0,10.0,10.0,1.4940525169352086,0.9335489034073943,10.0,10.0,10.0,10.0,1.3820041237222707,0.9423452872268481,10.0,10.0,10.0,10.0,1.5936992221634985,0.9251772644623563,10.0,10.0,10.0,10.0,1.1299316374772057,0.9818241299532128,10.0,10.0,10.0,10.0,1.1271601031091978,0.9737901645478655
True,10.0,10.0,10.0,10.0,1.719584901892223,0.8494672301231292,10.0,10.0,10.0,10.0,1.7270210532395693,0.9305333495738205,10.0,10.0,10.0,10.0,1.6402298312589896,0.9505852059607479,10.0,10.0,10.0,0.2,1.6077180409832177,0.970705928299763,10.0,10.0,10.0,0.2,1.493988690635276,0.9680203894995497
True,10.0,10.0,10.0,10.0,1.5775231754322918,0.9728609122151871,10.0,10.0,10.0,10.0,1.9224470376418985,0.9546793911180463,10.0,10.0,10.0,10.0,1.407077468009186,0.9655671229226254,10.0,10.0,10.0,10.0,1.565412326016101,0.9565089770583708,10.0,10.0,10.0,10.0,1.6780287715069562,0.9201881512753444
True,10.0,10.0,10.0,10.0,1.792680160923306,0.9584272066798487,10.0,10.0,10.0,10.0,1.5731891747099553,0.9385290245886274,10.0,10.0,10.0,10.0,1.2610783100568679,0.9604096681994019,10.0,10.0,10.0,10.0,1.485937644897235,0.9995160656471518,10.0,10.0,10.0,10.0,1.4683903128641596,1.00420170408795
True,10.0,10.0,10.0,10.0,1.4848517493288296,0.963781153178376,10.0,10.0,10.0,10.0,1.99470700818167,0.9073489551059835,10.0,10.0,10.0,10.0,1.7730757554630387,0.9594166079712073,10.0,10.0,10.0,10.0,1.6435872173718635,0.9506460358912102,10.0,10.0,10.0,10.0,1.6843238747872573,0.9605249635447084
