lof_score,alpha,difficulty_group,knn_success,background_size,DenSHAP_validity,DenSHAP_CA_top1,DenSHAP_CA_top2,DenSHAP_CA_top3,DenSHAP_CA_top5,DenSHAP_plausibility,DenSHAP_bds
1.0857341461054055,0.8297830710862694,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.58259246140384,0.9203087924749337
1.0758453256967362,0.7256565041094816,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.539306021103711,0.9735626756754769
1.0114279340227053,0.04735903571420562,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2269034647841748,0.9809968636351807
1.168873417794907,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.2306031598736893,0.9785033512387328
0.9907596672462198,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.1708876574844405,0.960436316151547
0.9875735383579164,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2620437614056208,0.9896409059976337
1.0495360747661697,0.4486273069032017,Medium,True,100,1.0,10.0,10.0,10.0,1.6795454545454547,1.3448699559796171,0.9668714668095968
1.0192978312354462,0.13022689511071062,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.6861500534203846,0.9615789690429095
1.0426359687397626,0.3759710827416489,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.6559758459967386,0.9695868497956719
0.9750215559965868,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.5204787886488433,0.9713741850314864
1.258818933415919,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.5809107610729884,0.9583482449924657
1.0510478070293803,0.4645454330548471,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.8588681546922419,0.9623519897222416
1.0728260081847156,0.6938639187305444,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.4038405131755334,0.9776718134629478
1.0863410384683334,0.8361734812327324,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.35916127017898,0.9609003193198404
0.996375135001488,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2451443935837687,0.954821753859109
1.0726946063964973,0.6924802939364493,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.0564149349398273,0.9967389617390321
1.0771111693687854,0.7389854908290926,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.2326560497901535,0.995754076094804
1.1767623842729455,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.142274617132588,0.9893161869699725
1.0089139722939855,0.020887708143818122,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3465420093005365,0.9805632038101526
1.1660074197132615,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.6771977461234324,0.9837416098714076
1.0810233204182054,0.7801793685046967,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.7754494762989945,0.976272252678313
0.9967548226449621,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2680558442770142,0.9774851461195173
1.0766556318967222,0.7341888061756189,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.1711041455979658,0.9790671119135146
0.9838052478121544,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.1039073826248456,0.9842843705060413
1.084762530643572,0.8195522267305968,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.6007239443653938,0.9634502634147418
1.027619674573874,0.2178536232682439,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2986303738854985,0.9951442141587776
0.9886759295687801,0.0,Easy,True,100,1.0,10.0,0.18181818181818182,0.18181818181818182,10.0,1.3336414934180643,0.9693859753263517
1.0959549420733365,0.9374052496605549,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.463570565752279,0.9743362965734562
1.0479377314933611,0.4317971905728355,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.2108303853640958,0.9941665937918568
1.0274518022396535,0.21608597362648985,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3484613811168171,0.9734237870421723
1.0596162796648847,0.5547691000745701,Medium,True,100,1.0,10.0,10.0,10.0,1.4583333333333333,1.1252141037459105,0.988641739223717
1.0820837831861057,0.7913457506276195,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3111389175600396,0.9835086103939282
1.0479267524583684,0.43168158434527115,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.4318840215817519,0.9902007005720062
1.3297358498383023,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.6356622915705885,0.9635658930519584
1.2207472416812788,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.4015798385096119,0.9722558104252915
0.9848017361046446,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3154572402728157,0.9844242029153227
1.0224231520873215,0.16313566658778703,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2466559772281225,0.9755573761035612
1.1003640025778885,0.9838314476254255,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3089715027641478,0.9664759489492954
1.0385827068334241,0.33329134644116853,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.5405112845911617,0.9894236976955391
1.2148476925742315,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.7093205296655025,0.9621646220098979
1.0960211925526964,0.9381028490395725,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.7939999780406795,0.9598384960301525
0.984847972662681,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.271958345603775,0.978452209506553
1.4284568685650272,1.0,Hard,True,100,1.0,10.0,10.0,10.0,1.4015151515151514,1.6123222330941875,0.9640029583507597
0.9997883730561214,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.185032949241204,0.9936622955772579
0.9908583785235686,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.4110542975863767,0.9498276354589148
1.0702648738466953,0.6668958765209168,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.4954083867742862,0.9711870785838809
1.1677303520676914,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3365021687751502,0.9875636473977105
1.1613373488237992,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.6424530999677258,0.9442271091486086
0.9928873302726098,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.5364524704224152,0.9886061426532088
1.1847417732033425,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.64107593428081,0.9547968964343087
1.1379129914890385,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3699196190059044,0.9861194797944725
1.1573213948761487,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.197356273617873,0.9710019808543425
1.10511683854825,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.5085245757093226,0.9789831459757288
1.038340867627603,0.3307448459262558,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.9353885980153982,0.9470861323021861
1.1448202503281069,1.0,Hard,True,100,1.0,10.0,10.0,1.1590909090909092,1.809090909090909,2.1679833816156013,0.9307285732759784
1.0520250680440288,0.47483572353341597,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.3759645138074779,0.9508875425545021
0.9956979464008885,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3586968813787552,0.9678692928824948
1.0221316013839796,0.1600657176369454,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.1660027845504528,0.9753672647970222
1.2927126298768545,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3801418934432261,0.9855945322827934
0.9994277118286853,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2744359379450292,0.9944493165998395
1.052276896748099,0.4774874107253545,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.8520748470754544,0.9557647978729132
0.9871568947289523,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.4980134034558117,0.9678325498074709
1.0293787297271255,0.23637599162578213,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3172289290037742,0.977015487491388
1.0132066656697805,0.06608859215559224,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.362432547571489,0.9849292548505121
1.056259030273184,0.5194181846776,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.3601055194239744,0.9893114366094486
1.1670363520549432,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.533892444299321,0.9305765021432855
1.0423882866204393,0.3733630579499289,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.430987496547725,0.9863477822777345
0.9745662182263463,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3789621347041514,0.9893369527152304
1.029586357715485,0.23856225740296272,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2990363073445823,0.974214411130869
1.0861463918891134,0.8341239061337467,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.6947798755286585,0.9610702408846423
0.9960242028252871,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.1493578924919188,0.9848320166603639
1.0283015909649533,0.22503401585642852,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3327149429059648,0.9572566767230244
1.2879963243527244,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.4183545033079885,0.977558020850465
1.0657615580137265,0.6194771957965538,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.3390543270817916,0.9820074558267253
0.9910091165232755,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.6294879819914811,0.9605766199199508
1.01812531784588,0.11788065067059462,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2626378025954432,0.9866826910921889
1.0325950834783497,0.27024331456798883,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2448177667289733,0.9944344436519902
0.9956500326936357,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2890868155602795,0.984304253623302
1.0726074768316605,0.691562843513274,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.678146270437481,0.9509307264360336
1.1722283189638028,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3318438242169957,0.9781134949353605
1.0691850423408598,0.6555255468992502,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.304299910311744,0.9927275019312727
0.9915577798800064,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2274655975256914,0.9815783354224706
0.9693692855598627,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.2246582161664614,0.9817841041568087
1.0859704101469478,0.8322708666502675,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.5510684245576571,0.9706506837391122
1.0448710564383406,0.39950594325351935,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.7535517934176248,0.9197159353701945
1.153340132411766,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.36825437552837,0.9603625289021069
1.0453159624828847,0.4041906818907983,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.373216391977391,0.9795264577411235
1.1902313458798424,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.404821632289225,0.9783370629598105
0.9923348961924008,0.0,Easy,True,100,1.0,1.0,1.3863636363636362,2.0530303030303028,2.0530303030303028,1.1897388551127581,0.9966557013298762
1.0880372145470845,0.8540337501798416,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.3219128785697745,0.9747838355501399
1.0334294657459817,0.2790291310237776,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3045085456929637,0.9763257572171952
1.146937230822416,1.0,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.1919384705767133,0.9705406443504009
0.9861188072080308,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.4288355155233348,0.9854888435181597
0.9978331184817323,0.0,Easy,True,100,1.0,0.5,1.1590909090909092,1.6590909090909092,1.9924242424242424,1.607013466351976,0.9835190697806546
1.011646444065242,0.04965988653756082,Easy,True,100,1.0,10.0,10.0,10.0,1.3628659476117102,1.3460042596603539,1.0028860715547168
1.0091764427275778,0.02365144982921814,Easy,True,100,1.0,10.0,10.0,10.0,0.828030303030303,1.3011052478691665,0.9817812485525543
1.0037162201643206,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.5275722061538253,0.966968999026075
1.074459454770421,0.711063663318922,Hard,True,100,1.0,10.0,10.0,10.0,10.0,2.1495081785677517,0.9116878880812344
1.0551985057866815,0.5082511526747218,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.3639712050187613,0.9583180582200026
1.0544299720819297,0.500158703527642,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.8187649141183067,0.9492732453980477
1.0133987682310859,0.06811137944361345,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.0873308898163876,0.9981035109059683
0.9691303324244182,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.3481016456100847,0.9878712907866867
1.0234733521567947,0.17419398531073202,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.0962118380089236,0.9894552923303825
1.0627135039492939,0.5873820224014771,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.459875034331283,0.9736360632817609
1.0168325643624736,0.10426831101718331,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.5569598516159484,0.9935598302556674
0.9970852102208829,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.32334397868497,0.9859495239653195
1.0407076691882666,0.35566661728446153,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.8834382811904269,0.9376549181514211
1.0000302187175096,0.0,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.135321010216311,0.947837246547269
1.01426544245744,0.07723722136894585,Easy,True,100,1.0,10.0,10.0,10.0,10.0,1.4581881567106054,0.9436775429622101
1.043781315459412,0.38803126959777406,Medium,True,100,1.0,10.0,10.0,10.0,10.0,1.3525713277612836,0.9918808930210394
1.0884638891468614,0.8585265167035435,Hard,True,100,1.0,10.0,10.0,10.0,10.0,1.0909858488437885,0.9968053191730052
