Dataset,Model,k_lof,Group,N,Test_AUC,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
LENDINGCLUB,lightgbm,20,Easy,1682,0.7201,0.9803,0.9801,0.979,-0.14,-0.11
LENDINGCLUB,lightgbm,20,Medium,723,0.7201,0.9779,0.9782,0.9791,0.13,0.1
LENDINGCLUB,lightgbm,20,Hard,1595,0.7201,0.9652,0.9629,0.9754,1.06,1.3
