Dataset,Model,k_lof,Group,N,Test_AUC,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
HELOC,lightgbm,20,Easy,928,0.7998,0.9851,0.9887,0.9787,-0.65,-1.02
HELOC,lightgbm,20,Medium,339,0.7998,0.9636,0.9676,0.9741,1.09,0.67
HELOC,lightgbm,20,Hard,708,0.7998,0.9386,0.9375,0.9648,2.79,2.92
