CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0879608840991868,1.1301566985631224,0.993466754631309,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0954482808118915,1.1951659830005126,0.9819087188398384,0.8657386618769646,0.9768497729880756,0.9768497729880756,0.9843371697007803,1.286787689694729,0.9554399496153257,10.0,0.8933460238401547,1.0044571349512659,1.0119445316639706,1.122037454185135,0.9835822810910393
True,10.0,10.0,10.0,10.0,1.2215927805978597,0.9734417272728384,10.0,10.0,10.0,10.0,0.9728514417186801,0.9985219427029026,10.0,10.0,10.0,10.0,1.1958914220911454,0.9934084934137509,10.0,10.0,10.0,10.0,0.8099777291096524,0.9846234558368712
True,10.0,10.0,10.0,10.0,1.0191529653618274,0.9695933237117986,10.0,10.0,10.0,10.0,1.1405927423438873,0.9799593620603776,10.0,10.0,10.0,10.0,1.020139673007237,0.950234129358251,10.0,10.0,10.0,10.0,0.7435782874669787,0.9663630218402378
True,10.0,10.0,10.0,10.0,1.338851250579697,0.9314295176813824,10.0,10.0,10.0,10.0,1.1117984684148765,0.9460286566232528,10.0,10.0,10.0,10.0,1.0423527620122248,0.9471467058683842,10.0,10.0,10.0,10.0,0.8832249895058626,0.9991900441009088
True,10.0,10.0,10.0,10.0,1.2253054019355587,0.9600347785983432,10.0,10.0,10.0,10.0,1.198383332155555,0.9787861788428855,10.0,10.0,10.0,10.0,1.1990024625225344,0.9807230643691671,10.0,10.0,10.0,10.0,1.0377764827180693,0.9825231606616793
True,10.0,10.0,10.0,10.0,1.2916363272891458,0.9565442948612738,10.0,10.0,10.0,10.0,1.2104953255931075,0.9892971067372534,10.0,10.0,10.0,10.0,1.162314482629442,0.9521213557025163,10.0,10.0,10.0,10.0,1.1566297730495645,0.9816032016484695
True,10.0,10.0,10.0,1.1061301218859008,1.3516502320243606,0.9880347300979775,10.0,0.8214892285688746,0.9381558952355413,1.1061301218859008,1.2223409399593776,0.9533766525447325,10.0,10.0,10.0,0.9950190107747897,1.1444989779646177,0.9583777698617704,0.7103781174577636,0.878352344108123,1.378352344108123,1.6061301218859008,1.075393878364028,0.977535151726866
True,10.0,10.0,10.0,10.0,1.1265029899573136,0.9901758440475834,10.0,10.0,10.0,10.0,1.436003484628591,0.9489221930603445,10.0,10.0,10.0,10.0,1.1700253826126956,0.9903118412158319,10.0,10.0,10.0,10.0,0.7625793973917707,0.9603640011295017
True,10.0,10.0,10.0,10.0,1.1214089922063921,0.9760496251725765,10.0,10.0,0.7574949578438537,1.2641411746127698,1.1427074763227838,0.9976441857111139,10.0,10.0,10.0,10.0,1.1865823249510774,0.9896386145773295,10.0,10.0,10.0,10.0,0.9854421813456595,0.970828301441564
True,10.0,10.0,10.0,10.0,1.293131925686556,0.9395228788055038,10.0,10.0,10.0,10.0,1.100963771632087,0.96039662483468,10.0,10.0,10.0,10.0,1.1345264055179656,0.9554288923970405,10.0,10.0,10.0,10.0,1.3479558528774382,0.9896854525164198
True,10.0,10.0,10.0,10.0,1.2037950140737423,0.92686051004914,10.0,10.0,10.0,10.0,1.2645646936227526,0.9742328517449248,10.0,10.0,10.0,10.0,1.1938461321873701,0.9707366351811499,10.0,10.0,10.0,10.0,0.9148128660344879,0.9732519626359626
True,10.0,10.0,10.0,10.0,1.2048559414241973,0.9833194449663335,10.0,10.0,10.0,10.0,1.1262430182999856,0.9701697474192553,10.0,10.0,10.0,10.0,1.1184082658138998,0.9626661241981797,10.0,10.0,10.0,10.0,1.130500413128178,0.9973249331439538
True,10.0,10.0,10.0,10.0,1.0883372361358947,0.9694255447002927,10.0,10.0,10.0,10.0,1.0890929398164242,0.9715899006537733,10.0,10.0,10.0,10.0,1.2683208500951646,0.983446419028309,10.0,10.0,10.0,10.0,1.0906043261786063,0.9890217987445021
True,10.0,10.0,10.0,10.0,1.1060849026812427,0.9896376191428529,10.0,10.0,10.0,10.0,1.4149017542358502,0.9535566644816165,10.0,10.0,10.0,10.0,1.0604971611637437,0.9834346086147472,10.0,10.0,10.0,10.0,1.0703507444127474,0.9906016557337127
True,10.0,10.0,10.0,10.0,1.1262526893706233,0.9640546194822388,10.0,10.0,10.0,10.0,1.158823326495534,0.95362773831759,10.0,10.0,10.0,10.0,1.2214097588736927,0.96225155475823,10.0,10.0,10.0,10.0,0.7928046036949555,0.9659710246812094
True,10.0,10.0,10.0,10.0,1.1062445620721215,0.9108923128240454,0.5,10.0,10.0,1.0792475582164476,1.055356016644548,0.9668182767988205,0.1111111111111111,0.1111111111111111,0.20160190865712335,0.780849466873571,1.246426771562954,0.9859774110328591,10.0,10.0,10.0,10.0,0.7274696072508829,0.9808941996620829
True,10.0,10.0,10.0,10.0,1.1266232443328488,0.9761364401670496,10.0,10.0,10.0,10.0,1.0246078490020603,0.9908829489151263,10.0,10.0,10.0,10.0,1.142678791526916,0.9895170891401289,10.0,10.0,10.0,10.0,1.316462935996959,0.9827929679413743
True,10.0,10.0,10.0,10.0,1.1275708456548732,0.9902192495054022,10.0,10.0,10.0,10.0,1.0325001658661468,0.9853320175600585,10.0,10.0,10.0,10.0,0.9560441828378673,0.9698063143234528,10.0,10.0,10.0,10.0,0.9238618468578487,0.969054437311834
True,10.0,10.0,10.0,10.0,1.1890466615397455,0.9915266805803087,10.0,10.0,10.0,10.0,1.3778105751840077,0.9568215812544274,10.0,10.0,10.0,10.0,1.2167508535118778,0.9382958159182493,10.0,10.0,10.0,10.0,1.0537461804210384,0.9838710375251992
True,10.0,10.0,10.0,10.0,1.3355771806167993,0.9433512096631427,10.0,10.0,10.0,10.0,1.1239790044434492,0.9633774311189784,10.0,10.0,10.0,1.0944931672118978,1.3508751971255075,0.9586193848227781,10.0,10.0,0.9833820561007867,1.0500487227674533,0.9070921845581355,0.9922641909417707
True,10.0,10.0,10.0,10.0,1.223803442516369,0.9700443550061989,10.0,10.0,10.0,10.0,1.4227644046694248,0.9179283412747195,10.0,10.0,10.0,10.0,1.2625342182216372,0.9746664124077663,10.0,10.0,10.0,10.0,0.8229986743847231,0.973656908584835
True,10.0,10.0,10.0,10.0,1.1149962916681102,0.9646087575037754,10.0,10.0,10.0,10.0,1.2190812467889787,0.9666740756973755,10.0,10.0,10.0,10.0,1.1717430353762468,0.9849686875945725,10.0,10.0,10.0,10.0,0.9208274583434433,0.9628463307894833
True,10.0,10.0,10.0,10.0,1.141305265426101,0.9484214213179974,10.0,10.0,10.0,10.0,1.0820027039242162,0.9869552146134662,10.0,10.0,10.0,10.0,1.09510904627139,0.9605378681486366,10.0,10.0,10.0,10.0,0.7550971851686152,0.9856042240552503
True,10.0,10.0,10.0,10.0,1.2266853377580254,0.9620887776961607,10.0,10.0,10.0,10.0,1.145656902832569,0.9951390073010398,10.0,10.0,10.0,10.0,1.3217494204158369,0.9712155302421177,10.0,10.0,10.0,10.0,0.9008247137518636,0.998158277094598
True,10.0,10.0,10.0,10.0,1.105382573605017,0.9439779805173121,10.0,10.0,10.0,10.0,1.093165075070299,0.9728847559723537,10.0,10.0,10.0,10.0,1.153375820592632,0.9654632947659948,10.0,10.0,10.0,10.0,0.89488883429342,0.995998969799395
True,10.0,10.0,10.0,10.0,1.1055128539337526,0.9572136900912522,10.0,10.0,10.0,10.0,1.2761080946727197,0.9657541113654766,10.0,10.0,10.0,10.0,1.0860296770849875,0.9658507850183284,10.0,10.0,10.0,10.0,1.0737733758883474,0.9764989463485036
True,10.0,10.0,10.0,10.0,0.9948403696663488,0.9977604626850853,10.0,10.0,10.0,10.0,1.0520757759728712,0.9491359896385811,10.0,10.0,10.0,10.0,1.3136273117529598,0.9358668976782794,10.0,10.0,10.0,10.0,1.514348821101566,0.9971445315175167
True,10.0,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1067072592711513,0.9419530195233735,10.0,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1117750473279613,0.9667358294932094,0.3333333333333333,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1873583369874854,0.9738278531146044,0.3333333333333333,0.3357468490211854,0.3357468490211854,0.8357468490211855,1.3195646848946336,0.940151489360303
True,10.0,10.0,10.0,10.0,1.1418690168387542,0.963697181728255,10.0,10.0,10.0,10.0,1.2028797875707873,0.9594876212580112,10.0,10.0,10.0,10.0,1.2671663633436983,0.9792842311844956,10.0,10.0,10.0,10.0,1.0529808772673195,0.9797851640805421
True,10.0,10.0,10.0,10.0,1.089655130001103,0.993036701084896,10.0,10.0,10.0,10.0,0.965111918298657,0.9629279291789284,10.0,10.0,10.0,10.0,1.012997196044525,0.9680659227456114,10.0,10.0,10.0,10.0,0.9081444003092152,0.966364721115687
True,10.0,10.0,10.0,10.0,1.2179005203839377,0.9764109451773457,10.0,10.0,10.0,10.0,1.0559352398094832,0.9810837260299327,10.0,10.0,10.0,10.0,1.2025054714252597,0.9745386756055685,10.0,10.0,10.0,10.0,1.0931245136189829,0.9982427510916251
True,10.0,10.0,10.0,10.0,1.087503438036721,0.9713372976647456,10.0,10.0,10.0,10.0,1.1276096254152748,0.9633313066920971,10.0,10.0,10.0,10.0,1.0872150727660876,0.939531688012452,10.0,10.0,10.0,10.0,0.6998665642004235,0.9716544801320784
True,10.0,10.0,10.0,10.0,1.3719313978819407,0.956419741132325,10.0,10.0,10.0,10.0,1.1177006724532825,0.9853562335265564,10.0,10.0,10.0,10.0,0.9956821910746338,0.9885821801397905,10.0,10.0,10.0,10.0,1.0394629706049028,0.9836191075214332
True,10.0,10.0,10.0,10.0,1.1374532798915695,0.994477445775465,10.0,10.0,10.0,10.0,1.2827350045330332,0.9655359983488966,10.0,10.0,10.0,10.0,1.2540337609019994,0.9387398221102294,10.0,10.0,10.0,10.0,1.1924860849219325,0.9568098916753266
True,10.0,10.0,10.0,10.0,1.1563043313717964,0.9756548466107675,10.0,10.0,10.0,10.0,1.2745059145143256,0.9766946787596401,10.0,10.0,10.0,10.0,1.1019272434468974,0.9624881516435039,10.0,10.0,10.0,10.0,1.159710677027895,0.9775063020703817
True,10.0,10.0,1.4047555197997674,2.4047555197997674,1.1628312113186665,0.9736780729582574,10.0,1.2936444086886563,1.960311075355323,2.6269777420219897,1.1211461595170307,0.9789293463552384,1.0,1.6666666666666665,1.960311075355323,2.368797782921785,1.1709178068499404,0.9785377577005476,1.0,1.2936444086886563,1.4047555197997674,2.0714221864664344,1.3723085391731291,0.9832250795286874
