Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,846,0.4748877942257579,1.061739241276627,9.055321523664375,8.241713713656864,7.622498419639341,6.639296013973879,0.5606036533295282,1.0,1.0,0.9790520266983562
Easy,391,0.0769862338879047,0.9960530993588486,9.087308431144873,8.218879443844912,7.475343897456535,6.7171732280097896,0.5651684129479546,1.0,1.0,0.9808129492203274
Medium,134,0.4804679285189125,1.029395555411112,8.914161118110789,8.037160019361792,8.001211519650045,6.491296389886563,0.5449447288046915,1.0,1.0,0.9797339854019074
Hard,321,0.9572297633747232,1.1552511895502426,9.075286051761903,8.354917434940395,7.643650640112993,6.606218004440106,0.5615863331901031,1.0,1.0,0.9766071891674264
