Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.567269341077306,9.368891090391342,9.177768916240874,8.995906232668917,1.1675078012465576,0.9662614270320586
SHAP_D_LAB,9.448200356384172,9.121056404814219,8.889522777070454,8.740956643298047,1.1726834208305619,0.9666594109600992
SHAP_D_PRED,9.35258935976656,8.991110914698783,8.772132071828452,8.609375593718978,1.1650911404968098,0.9664377105992928
CF_SHAP,9.288992986861222,8.962965806774315,8.777775669254051,8.709228829336848,1.0426060186419763,0.9738130067373699
DenSHAP (ours),9.215301285547167,8.819096675976688,8.588355308161322,8.470278090106383,1.0016318129955795,0.977287478077445
