Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
HELOC,Easy,928,0.9851,0.9777,-0.7451,↓0.75%
HELOC,Medium,339,0.9636,0.9728,0.9585,↑0.96%
HELOC,Hard,708,0.9385,0.9641,2.7216,↑2.72%
