Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.462586208708519,8.998343482909737,8.400495673556211,7.539308920367451,0.6724193455646775,0.9613613068380915
SHAP_D_LAB,9.215047337756042,8.542545047617851,7.822214064563097,6.841127454604829,0.6315039707777192,0.9629399625906669
SHAP_D_PRED,9.203842441203028,8.527508312830554,7.823123878985304,6.8857655598813,0.6270942051158486,0.9628754444047132
CF_SHAP,8.770119135885741,7.872845377723396,7.232031480410491,5.90790667999716,0.5548412647840287,0.97203790850506
DenSHAP (ours),9.055321523664375,8.241713713656864,7.622498419639341,6.639296013973879,0.5606036533295282,0.9790520266983562
