Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
WINE,Easy,391,0.9778,0.9808,0.3077,↑0.31%
WINE,Medium,134,0.9762,0.9797,0.3582,↑0.36%
WINE,Hard,321,0.9632,0.9766,1.3913,↑1.39%
