Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
LENDINGCLUB,Easy,1682,0.9803,0.9786,-0.174,↓0.17%
LENDINGCLUB,Medium,723,0.9779,0.9782,0.0279,↑0.03%
LENDINGCLUB,Hard,1595,0.9651,0.9755,1.0765,↑1.08%
