Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
HELOC,30,Easy,963,0.9857,0.9894,0.9802,-0.56,-0.93
HELOC,30,Medium,329,0.966,0.9676,0.9732,0.75,0.58
HELOC,30,Hard,683,0.9372,0.9358,0.9663,3.1,3.25
