Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
WINE,30,Easy,313,0.98,0.9719,0.9796,-0.04,0.79
WINE,30,Medium,93,0.9762,0.9793,0.977,0.08,-0.23
WINE,30,Hard,213,0.9634,0.9768,0.9753,1.23,-0.16
