Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst
LENDINGCLUB,30,Easy,1754,0.9823,0.9822,0.9795,-0.28,-0.27
LENDINGCLUB,30,Medium,737,0.9792,0.9789,0.9776,-0.16,-0.13
LENDINGCLUB,30,Hard,1509,0.9603,0.9572,0.9737,1.39,1.72
