Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
HELOC,Easy,956,0.987,0.9813,-0.5757,↓0.58%
HELOC,Medium,327,0.9695,0.9766,0.7337,↑0.73%
HELOC,Hard,692,0.9366,0.9668,3.233,↑3.23%
