Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,1975,0.4510201414469471,1.07190678402668,9.120321544037639,8.86114454020964,8.721549292362301,8.637470371579163,1.4316332643982406,1.0,1.0,0.975441436395514
Easy,956,0.07788986618416237,1.0030830078205426,9.206915684683917,8.976613010171738,8.82810178053531,8.679210939634991,1.3700686437102292,1.0,1.0,0.9812721074823577
Medium,327,0.4866188673402634,1.048604513696603,8.922147329879964,8.531372846608757,8.319256144568248,8.238319506473138,1.4429906268827752,1.0,1.0,0.9766081886711271
Hard,692,0.949678753851727,1.1779983627130999,9.09433739601989,8.857455936920221,8.764447674783193,8.768421744163405,1.5113181196660086,1.0,1.0,0.9668350064054158
