CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0879608840991868,1.1301566985631224,0.9915637451996181,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0954482808118915,1.1951659830005126,0.9885247996456833,0.8657386618769646,0.9768497729880756,0.9768497729880756,0.9843371697007803,1.286787689694729,0.9355116291205821,10.0,0.8933460238401547,1.0044571349512659,1.0119445316639706,1.122037454185135,0.9645679782113342
True,10.0,10.0,10.0,10.0,1.2215927805978597,0.948670038084717,10.0,10.0,10.0,10.0,0.9728514417186801,0.9947059861757876,10.0,10.0,10.0,10.0,1.1958914220911454,0.9808846045905328,10.0,10.0,10.0,10.0,0.8099777291096524,0.9896455691290139
True,10.0,10.0,10.0,10.0,1.0191529653618274,0.9568177610882813,10.0,10.0,10.0,10.0,1.1405927423438873,0.9812224600576227,10.0,10.0,10.0,10.0,1.020139673007237,0.9310521139907731,10.0,10.0,10.0,10.0,0.7435782874669787,0.972670368208074
True,10.0,10.0,10.0,10.0,1.338851250579697,0.9323173390436972,10.0,10.0,10.0,10.0,1.1117984684148765,0.9447209256306459,10.0,10.0,10.0,10.0,1.0423527620122248,0.9393859253386638,10.0,10.0,10.0,10.0,0.8832249895058626,1.0021531258601217
True,10.0,10.0,10.0,10.0,1.2253054019355587,0.9622448544993313,10.0,10.0,10.0,10.0,1.198383332155555,0.9641193288258458,10.0,10.0,10.0,10.0,1.1990024625225344,0.9645122285127572,10.0,10.0,10.0,10.0,1.0377764827180693,0.9730380638408231
True,10.0,10.0,10.0,10.0,1.2916363272891458,0.9603463881950608,10.0,10.0,10.0,10.0,1.2104953255931075,0.9748506039530035,10.0,10.0,10.0,10.0,1.162314482629442,0.9572631301237156,10.0,10.0,10.0,10.0,1.1566297730495645,0.9700828168732178
True,10.0,10.0,10.0,1.1061301218859008,1.3516502320243606,0.9710897757608347,10.0,0.8214892285688746,0.9381558952355413,1.1061301218859008,1.2223409399593776,0.9389351834985631,10.0,10.0,10.0,0.9950190107747897,1.1444989779646177,0.9500041481413184,0.7103781174577636,0.878352344108123,1.378352344108123,1.6061301218859008,1.075393878364028,0.9815716801640451
True,10.0,10.0,10.0,10.0,1.1265029899573136,0.980524165004673,10.0,10.0,10.0,10.0,1.436003484628591,0.910526207451323,10.0,10.0,10.0,10.0,1.1700253826126956,0.9928653964903242,10.0,10.0,10.0,10.0,0.7625793973917707,0.9531116177057346
True,10.0,10.0,10.0,10.0,1.1214089922063921,0.9613279836630888,10.0,10.0,0.7574949578438537,1.2641411746127698,1.1427074763227838,0.9851599289685448,10.0,10.0,10.0,10.0,1.1865823249510774,0.9904792028874713,10.0,10.0,10.0,10.0,0.9854421813456595,0.9809954875383863
True,10.0,10.0,10.0,10.0,1.293131925686556,0.9283521500739325,10.0,10.0,10.0,10.0,1.100963771632087,0.9506566700094081,10.0,10.0,10.0,10.0,1.1345264055179656,0.9429563933939493,10.0,10.0,10.0,10.0,1.3479558528774382,0.9903094158666615
True,10.0,10.0,10.0,10.0,1.2037950140737423,0.8999401627601319,10.0,10.0,10.0,10.0,1.2645646936227526,0.97630191558511,10.0,10.0,10.0,10.0,1.1938461321873701,0.9493119795226477,10.0,10.0,10.0,10.0,0.9148128660344879,0.9832785717070444
True,10.0,10.0,10.0,10.0,1.2048559414241973,0.9783339241654583,10.0,10.0,10.0,10.0,1.1262430182999856,0.9624214817676082,10.0,10.0,10.0,10.0,1.1184082658138998,0.9683280860032719,10.0,10.0,10.0,10.0,1.130500413128178,0.9833696387799685
True,10.0,10.0,10.0,10.0,1.0883372361358947,0.9640069140614255,10.0,10.0,10.0,10.0,1.0890929398164242,0.9671212876924173,10.0,10.0,10.0,10.0,1.2683208500951646,0.9857611468808894,10.0,10.0,10.0,10.0,1.0906043261786063,0.9767862251371178
True,10.0,10.0,10.0,10.0,1.1060849026812427,0.9885482969812905,10.0,10.0,10.0,10.0,1.4149017542358502,0.9442339695793056,10.0,10.0,10.0,10.0,1.0604971611637437,0.9790299500049654,10.0,10.0,10.0,10.0,1.0703507444127474,1.0024025707674682
True,10.0,10.0,10.0,10.0,1.1262526893706233,0.9660330070586001,10.0,10.0,10.0,10.0,1.158823326495534,0.9489678511366453,10.0,10.0,10.0,10.0,1.2214097588736927,0.979863878231464,10.0,10.0,10.0,10.0,0.7928046036949555,0.974191644758599
True,10.0,10.0,10.0,10.0,1.1062445620721215,0.90912270295806,0.5,10.0,10.0,1.0792475582164476,1.055356016644548,0.9449603847112906,0.1111111111111111,0.1111111111111111,0.20160190865712335,0.780849466873571,1.246426771562954,0.9808757166808298,10.0,10.0,10.0,10.0,0.7274696072508829,0.991814241834879
True,10.0,10.0,10.0,10.0,1.1266232443328488,0.9741914481048036,10.0,10.0,10.0,10.0,1.0246078490020603,0.9866594448946004,10.0,10.0,10.0,10.0,1.142678791526916,0.9853511770403021,10.0,10.0,10.0,10.0,1.316462935996959,0.9926004861995343
True,10.0,10.0,10.0,10.0,1.1275708456548732,0.9850436254615232,10.0,10.0,10.0,10.0,1.0325001658661468,0.9890295807502207,10.0,10.0,10.0,10.0,0.9560441828378673,0.9820039273715793,10.0,10.0,10.0,10.0,0.9238618468578487,0.9531676976511172
True,10.0,10.0,10.0,10.0,1.1890466615397455,0.983195972234217,10.0,10.0,10.0,10.0,1.3778105751840077,0.9255443432499261,10.0,10.0,10.0,10.0,1.2167508535118778,0.9273052800097584,10.0,10.0,10.0,10.0,1.0537461804210384,0.9644734543567068
True,10.0,10.0,10.0,10.0,1.3355771806167993,0.927712410182448,10.0,10.0,10.0,10.0,1.1239790044434492,0.954778994200596,10.0,10.0,10.0,1.0944931672118978,1.3508751971255075,0.9210552083841627,10.0,10.0,0.9833820561007867,1.0500487227674533,0.9070921845581355,0.9912020287245321
True,10.0,10.0,10.0,10.0,1.223803442516369,0.9581273647564496,10.0,10.0,10.0,10.0,1.4227644046694248,0.912917512642581,10.0,10.0,10.0,10.0,1.2625342182216372,0.970900361366456,10.0,10.0,10.0,10.0,0.8229986743847231,0.9848076477052427
True,10.0,10.0,10.0,10.0,1.1149962916681102,0.9391755717354971,10.0,10.0,10.0,10.0,1.2190812467889787,0.9640705193422268,10.0,10.0,10.0,10.0,1.1717430353762468,0.9729337360577212,10.0,10.0,10.0,10.0,0.9208274583434433,0.9760337423397095
True,10.0,10.0,10.0,10.0,1.141305265426101,0.9301707855556549,10.0,10.0,10.0,10.0,1.0820027039242162,0.9753262111394607,10.0,10.0,10.0,10.0,1.09510904627139,0.9586964816722663,10.0,10.0,10.0,10.0,0.7550971851686152,1.0019071519698475
True,10.0,10.0,10.0,10.0,1.2266853377580254,0.9499775577999664,10.0,10.0,10.0,10.0,1.145656902832569,0.9829270041764604,10.0,10.0,10.0,10.0,1.3217494204158369,0.9514024231211318,10.0,10.0,10.0,10.0,0.9008247137518636,1.0027008361503313
True,10.0,10.0,10.0,10.0,1.105382573605017,0.9298074624692181,10.0,10.0,10.0,10.0,1.093165075070299,0.973406047160883,10.0,10.0,10.0,10.0,1.153375820592632,0.9593080347066646,10.0,10.0,10.0,10.0,0.89488883429342,0.9933047426100188
True,10.0,10.0,10.0,10.0,1.1055128539337526,0.9470990492817555,10.0,10.0,10.0,10.0,1.2761080946727197,0.9485725057363433,10.0,10.0,10.0,10.0,1.0860296770849875,0.9691491316879246,10.0,10.0,10.0,10.0,1.0737733758883474,0.9884148278095781
True,10.0,10.0,10.0,10.0,0.9948403696663488,0.9926817195347593,10.0,10.0,10.0,10.0,1.0520757759728712,0.947599858548154,10.0,10.0,10.0,10.0,1.3136273117529598,0.9130715538304072,10.0,10.0,10.0,10.0,1.514348821101566,0.9826110105827149
True,10.0,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1067072592711513,0.9367694248894024,10.0,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1117750473279613,0.983837337328068,0.3333333333333333,0.3357468490211854,0.8357468490211855,0.9847514890451339,1.1873583369874854,0.9503289981405956,0.3333333333333333,0.3357468490211854,0.3357468490211854,0.8357468490211855,1.3195646848946336,0.9244997594712515
True,10.0,10.0,10.0,10.0,1.1418690168387542,0.968719345988341,10.0,10.0,10.0,10.0,1.2028797875707873,0.9556463241566343,10.0,10.0,10.0,10.0,1.2671663633436983,0.9863049468818181,10.0,10.0,10.0,10.0,1.0529808772673195,0.958622867835448
True,10.0,10.0,10.0,10.0,1.089655130001103,0.977968097225725,10.0,10.0,10.0,10.0,0.965111918298657,0.9727995918666148,10.0,10.0,10.0,10.0,1.012997196044525,0.9773696534570288,10.0,10.0,10.0,10.0,0.9081444003092152,0.9648699209009299
True,10.0,10.0,10.0,10.0,1.2179005203839377,0.979500968449625,10.0,10.0,10.0,10.0,1.0559352398094832,0.979368419655191,10.0,10.0,10.0,10.0,1.2025054714252597,0.9632965378577332,10.0,10.0,10.0,10.0,1.0931245136189829,1.0030042031544073
True,10.0,10.0,10.0,10.0,1.087503438036721,0.9620192821417417,10.0,10.0,10.0,10.0,1.1276096254152748,0.9595194988369362,10.0,10.0,10.0,10.0,1.0872150727660876,0.951162399549865,10.0,10.0,10.0,10.0,0.6998665642004235,0.9860732365627947
True,10.0,10.0,10.0,10.0,1.3719313978819407,0.9185859901455924,10.0,10.0,10.0,10.0,1.1177006724532825,0.9777306572707529,10.0,10.0,10.0,10.0,0.9956821910746338,0.9908381660362233,10.0,10.0,10.0,10.0,1.0394629706049028,0.9632937649364651
True,10.0,10.0,10.0,10.0,1.1374532798915695,0.9989279968749678,10.0,10.0,10.0,10.0,1.2827350045330332,0.9516850248287454,10.0,10.0,10.0,10.0,1.2540337609019994,0.9312461881888418,10.0,10.0,10.0,10.0,1.1924860849219325,0.9638674425839117
True,10.0,10.0,10.0,10.0,1.1563043313717964,0.9785230179913658,10.0,10.0,10.0,10.0,1.2745059145143256,0.9465669183863504,10.0,10.0,10.0,10.0,1.1019272434468974,0.963345028656251,10.0,10.0,10.0,10.0,1.159710677027895,0.9772412632695259
True,10.0,10.0,1.4047555197997674,2.4047555197997674,1.1628312113186665,0.9425262814532704,10.0,1.2936444086886563,1.960311075355323,2.6269777420219897,1.1211461595170307,0.9708352172515156,1.0,1.6666666666666665,1.960311075355323,2.368797782921785,1.1709178068499404,0.9555965176056114,1.0,1.2936444086886563,1.4047555197997674,2.0714221864664344,1.3723085391731291,0.9719782273816702
True,10.0,10.0,10.0,10.0,1.2633753185736811,0.9792739943773243,10.0,10.0,10.0,10.0,1.192224909789991,0.9539707358053425,10.0,10.0,10.0,10.0,1.1434809727848936,0.977825543756024,10.0,10.0,10.0,10.0,0.8346774941394288,0.9829681375293087
True,0.125,0.30722222222222223,0.41502592294627694,0.5816925896129436,1.1246664208885337,0.9436811924701909,0.125,0.30722222222222223,0.41502592294627694,10.0,1.7735751590773343,0.8635142918586654,0.125,10.0,10.0,10.0,1.187940084073132,0.95821201628147,0.125,0.30722222222222223,10.0,10.0,0.9651544530196015,0.9681365667347557
True,10.0,10.0,10.0,10.0,1.1740847694475864,0.9591840011991148,10.0,10.0,10.0,10.0,1.1237795494289764,0.9620430272383075,10.0,10.0,10.0,10.0,1.035638990534128,0.969279795076733,10.0,10.0,10.0,10.0,0.9809454959456275,0.9762961925388549
True,10.0,10.0,10.0,10.0,1.1186633648302582,0.9551767220222095,10.0,10.0,10.0,10.0,1.1699065795110601,0.9858328689574115,10.0,10.0,10.0,10.0,1.1969992265396352,0.8999547488782522,10.0,10.0,10.0,10.0,1.0302845958252291,0.937440071228397
True,10.0,10.0,10.0,10.0,1.2101342977480694,0.9981558783516198,10.0,10.0,10.0,10.0,0.9417171362760115,0.9849202019380318,10.0,10.0,10.0,10.0,0.9400220063374262,0.9816933379709463,10.0,10.0,10.0,10.0,0.803816831724512,0.9651680363997801
True,10.0,10.0,10.0,10.0,1.101194803949714,0.954588118777373,10.0,10.0,10.0,10.0,1.0464353516090248,0.9682427720487515,10.0,10.0,10.0,10.0,1.494157511701916,0.9683740160513228,10.0,10.0,10.0,10.0,0.8982655232870288,0.9840817224269152
True,10.0,10.0,10.0,10.0,1.089314423678626,0.9650831719372496,10.0,10.0,10.0,10.0,1.1866456659912648,0.9983808217597744,10.0,10.0,10.0,10.0,1.1371551979145742,0.9545501804921775,10.0,10.0,10.0,10.0,1.1692730246277727,0.9863824321517607
True,10.0,10.0,10.0,10.0,0.9465079493168851,0.9866027790468305,10.0,10.0,10.0,10.0,1.1805246103116391,0.9516625174504696,10.0,10.0,10.0,10.0,1.043981469949563,0.9453833717749485,10.0,10.0,10.0,10.0,1.3756975164902685,0.9464746858029123
