Method,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,BDS
SHAP_TRAIN,9.478934227315781,9.22217316800138,9.046204473308897,8.953387289713334,1.6791869022213115,0.9439083761187633
SHAP_D_LAB,9.326649233226087,8.99920991365476,8.84619590141063,8.766271705844474,1.6616090777529517,0.94503146821637
SHAP_D_PRED,9.244166279169896,8.902553345388789,8.731004931777083,8.660768638322681,1.654997864886143,0.9446114242432343
CF_SHAP,9.195533117274529,8.993128429339787,8.806278467976686,8.746768799203089,1.506315212596992,0.9664050037510415
DenSHAP (ours),9.120321544037639,8.86114454020964,8.721549292362301,8.637470371579163,1.4316332643982406,0.975441436395514
