Dataset,Group,N,CF_SHAP_BDS,DenSHAP_BDS,Delta_pct,Direction
LENDINGCLUB,Easy,1810,0.9839,0.9799,-0.409,↓0.41%
LENDINGCLUB,Medium,714,0.9783,0.9776,-0.0786,↓0.08%
LENDINGCLUB,Hard,1476,0.9521,0.9709,1.9798,↑1.98%
