Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,846,0.44111493574649957,1.0588214732891217,9.010127025101035,8.183282969283972,7.613047475173273,6.622604234941431,0.5575945847071281,1.0,1.0,0.9776651605405396
Easy,429,0.08256653292706584,0.9953266921023068,8.966264411271498,8.042374534045598,7.228188203253553,6.49049253932634,0.5616455876591187,1.0,1.0,0.9794912685482856
Medium,133,0.4905524868305826,1.0293455204008435,9.348993632540736,8.651796079899155,8.61875788831831,6.623257076393999,0.5524180428976971,1.0,1.0,0.9765449317875191
Hard,284,0.9595729305188733,1.1685382439344894,8.917689710112976,8.176724782683422,7.7234176959664795,6.821861592355805,0.5538864567716171,1.0,1.0,0.975423429405659
