Group,N,α_mean,LOF_mean,CA_top1,CA_top2,CA_top3,CA_top5,Plausibility,Validity,KNN_success,BDS
Total,4000,0.4710229253446131,1.0578421640787312,9.219592023064568,8.81100065237599,8.599714409705001,8.480175766896181,1.0021788043210276,1.0,1.0,0.976160643096099
Easy,1810,0.07874981726175323,0.998074893919176,9.248912980211752,8.85033357844517,8.659015958589034,8.533021914033892,0.9694475125155421,1.0,1.0,0.9798650698128646
Medium,714,0.4870110863734078,1.0292726545353268,9.100304680552956,8.746647338837105,8.626440429426264,8.543927279150473,1.012854111898679,1.0,1.0,0.9775511415532155
Hard,1476,0.944328330937714,1.144954216113139,9.241340146449991,8.793897447553187,8.514065235205624,8.38453206359752,1.0371526990076714,1.0,1.0,0.9709453122995358
