Dataset,Group,n,γ=0.0,γ=0.5,γ=1.0,γ=2.0,γ=3.0,λ=0.0,λ=0.0_sig,λ=0.25,λ=0.25_sig,λ=0.5,λ=0.5_sig,λ=0.75,λ=0.75_sig,λ=1.0,λ=1.0_sig
HELOC,Easy,928,0.9852,0.9819,0.9787,0.9722,0.9657,0.9852,baseline,0.9836,n.s.,0.9819,n.s.,0.9803,n.s.,0.9787,n.s.
HELOC,Medium,339,0.9635,0.9678,0.972,0.9805,0.9889,0.9635,baseline,0.9656,***,0.9678,***,0.9699,***,0.972,***
HELOC,Hard,708,0.9386,0.9518,0.965,0.9914,1.0178,0.9386,baseline,0.9452,***,0.9518,***,0.9584,***,0.965,***
Wine Quality,Easy,369,0.9771,0.9766,0.9761,0.9751,0.974,0.9771,baseline,0.9769,n.s.,0.9766,n.s.,0.9763,n.s.,0.9761,n.s.
Wine Quality,Medium,144,0.9761,0.9766,0.9771,0.978,0.979,0.9761,baseline,0.9763,n.s.,0.9766,n.s.,0.9768,n.s.,0.9771,n.s.
Wine Quality,Hard,297,0.9644,0.9704,0.9764,0.9883,1.0002,0.9644,baseline,0.9674,***,0.9704,***,0.9734,***,0.9764,***
LendingClub,Easy,1682,0.9802,0.9793,0.9784,0.9765,0.9747,0.9802,baseline,0.9797,n.s.,0.9793,n.s.,0.9788,n.s.,0.9784,n.s.
LendingClub,Medium,723,0.9776,0.9778,0.978,0.9784,0.9788,0.9776,baseline,0.9777,n.s.,0.9778,n.s.,0.9779,n.s.,0.978,n.s.
LendingClub,Hard,1595,0.9652,0.9698,0.9744,0.9837,0.993,0.9652,baseline,0.9675,***,0.9698,***,0.9721,***,0.9744,***
